Application,OS,Database,vRAM,vCPU,RAID 5 GP1,RAID 1/0 GP2,RAID 5 GP3,RAID 5 GP4,IOPS,Interface1,Interface2,Interface3,Notes
CPACS - WFM Admin Desktop,MS 2012 R2 Std,,8,4,50,0,0,0,50,Fiber Channel,SAS,GigE,50 GB - OS + Application - Can use existing ZFP Admin Desktop server
CPACS - XE Services standalone mode (WFM),MS 2012 R2 Std,,16,8,60,0,0,0,50,Fiber Channel,SAS,GigE,60 GB - OS + Application - Supports all components and datasources (CPACS)
CRMA (2D only),RHEL6.4,,8,1,20,0,0,0,50,Fiber Channel,SAS,GigE,"When calculating CRMA QTY is CC users and add the amount of images in a study that will be viewed, 200 is a good average if unknown"
DoseWatch - App server,MS 2012 R2 Std,,8,4,50,0,50,0,75,Fiber Channel,SAS,GigE,
DoseWatch - DB Analytics,MS 2012 R2 Std,,10,4,50,0,1000,0,150,Fiber Channel,SAS,GigE,Not yet available but added for future usage.
DoseWatch - DB Server,MS 2012 R2 Std,MySQL 5.5.36,10,4,50,0,250,0,150,Fiber Channel,SAS,GigE,250 GB is the thin provisioning but it could growth up to 2Tb
DoseWatch - Serphylink,MS 2012 R2 Std,,6,2,50,0,50,0,75,Fiber Channel,SAS,GigE,
LB - A10 vThunder 1 Gbps Load Balancer,Linux/ACOS,,4,1,15,0,0,0,50,Fiber Channel,SAS,GigE,15 GB - OS + Application - Use vThunder_271_GR1_P3.ova
LB - A10 vThunder 4 Gbps Load Balancer,Linux/ACOS,,12,2,15,0,0,0,50,Fiber Channel,SAS,GigE,15 GB - OS + Application - Use vThunder_271_GR1_P3.ova
LB - F5 Virtual Edition 1 Gbps Load Balancer,CentOS6.6/TMOS,,8,4,20,142,0,0,50,Fiber Channel,SAS,GigE,162 GB - OS + Application - Use BIGIP-12.1.2.0.0.249.ALL-scsi.ova
LB - F5 Virtual Edition 3 Gbps Load Balancer,CentOS6.6/TMOS,,16,8,20,142,0,0,50,Fiber Channel,SAS,GigE,162 GB - OS + Application - Use BIGIP-12.1.2.0.0.249.ALL-scsi.ova
Misc. - vCenter,Appliance (Linux),,8,2,125,0,0,0,10,Fiber Channel,SAS,GigE,See: http://kb.vmware.com/selfservice/microsites/search.do?language=en_US&cmd=displayKC&externalId=1003882
Misc. - Windows domain/AD server,MS 2012 R2 Std,,4,2,50,0,0,0,10,Fiber Channel,SAS,GigE,
Misc. - Windows VM large,MS 2012 R2 Std,,16,4,200,0,0,0,10,Fiber Channel,SAS,GigE,Generic VM
Misc. - Windows VM medium,MS 2012 R2 Std,,8,2,150,0,0,0,10,Fiber Channel,SAS,GigE,Generic VM
Misc. - Windows VM small,MS 2012 R2 Std,,4,2,100,0,0,0,10,Fiber Channel,SAS,GigE,Generic VM
OnWatch - Large (<8000 checks),Ubuntu,,6,6,120,0,0,0,100,Fiber Channel,SAS,GigE,"The disk size is highly dependent on the design of the checks and the use of graphs, each check creates its own database file."
OnWatch - Medium (<3000 checks),Ubuntu,,4,4,80,0,0,0,75,Fiber Channel,SAS,GigE,"The disk size is highly dependent on the design of the checks and the use of graphs, each check creates its own database file."
OnWatch - Small (<1500 checks),Ubuntu,,2,2,40,0,0,0,50,Fiber Channel,SAS,GigE,"The disk size is highly dependent on the design of the checks and the use of graphs, each check creates its own database file."
OnWatch - X-Large (>8000 checks),Ubuntu,,8,8,120,0,0,0,200,Fiber Channel,SAS,GigE,"The disk size is highly dependent on the design of the checks and the use of graphs, each check creates its own database file."
PACS IW - UV - AW Server node (16k slices),Suse Linux 11,,24,8,0,70,0,0,300,Fiber Channel,SAS,GigE,"70GB - OS - 4 users per node, 6 nodes max"
PACS IW - UV Controller and database,MS 2012 R2 Std,MS SQL 2012 Std,8,8,0,370,0,0,300,Fiber Channel,SAS,GigE,
PACS IW - UV Controller or node  (up to 50 CCU per node),MS 2012 R2 Std,,8,8,0,170,0,0,100,Fiber Channel,SAS,GigE,
PACS IW - UV Database,MS 2012 R2 Std,MS SQL 2012 Std,8,8,0,370,0,0,300,Fiber Channel,SAS,GigE,
"RIS-I - Add-on server - Print, Fax, VR, Interface",MS 2008 R2 Std,,16,6,279,0,0,0,100,Fiber Channel,SAS,GigE,"Grp 1 is OS and apps (C:/128gb, E:/96Gb, T:/55Gb)"
RIS-I - Citrix Server (18 non VR clients or 12 VR clients),MS 2008 R2 Std,,32,6,150,0,0,0,100,Fiber Channel,SAS,GigE,"Grp 1 is OS and apps (C:, E:, T:)"
RIS-I - DB server large (400 CCU),MS 2008 R2 Ent,Oracle 10gR2,128,16,192,748,176,0,500,Fiber Channel,SAS,GigE,"Grp 1 is OS and apps (C: / 192Gb), Grp 2 is Oracle (E:/558Gb, R:/103Gb ; T: / 87Gb), Grp 3 is network shares (H:/160Gb, I:/16Gb, Q:/100Mb in cluster mode only) - no thin provisioning!"
RIS-I - DB server medium (200 CCU),MS 2008 R2 Ent,Oracle 10gR2,64,8,192,469,176,0,400,Fiber Channel,SAS,GigE,"Grp 1 is OS and apps (C: / 192Gb), Grp 2 is Oracle (E:/279Gb, R:/103Gb ; T: / 87Gb), Grp 3 is network shares (H:/160Gb, I:/16Gb, Q:/100Mb in cluster mode only) - no thin provisioning!"
RIS-I - DB server small (100 CCU),MS 2008 R2 Std,Oracle 10gR2,32,6,192,280,56,0,300,Fiber Channel,SAS,GigE,"Grp 1 is OS and apps (C: / 192Gb), Grp 2 is Oracle (E:/192Gb, R:/31Gb ; T: / 87Gb), Grp 3 is network shares (H:/48Gb, I:/8Gb, Q:/100Mb in cluster mode only) - no thin provisioning!"
RIS-I - Test DB server,MS 2008 R2 Std,Oracle 10gR2,16,2,250,0,0,0,50,Fiber Channel,SAS,GigE,Grp 1 is for all partitions on a test server. Additional disk space might be needed if tests use a copy of the real production database.
RIS-I - Test Web or Citrix server,MS 2008 R2 Std,,16,2,150,0,0,0,50,Fiber Channel,SAS,GigE,Grp 1 is for all partitions.
RIS-I - Web server large for eRadCockpit and WebMFD - single or LB srvr (80 CCU),MS 2008 R2 Ent,,128,8,192,87,0,0,100,Fiber Channel,SAS,GigE,"Grp 1 is OS and apps (C:/192Gb), Grp 2 (T:/92Gb) / Each Virtual Server will be handled as Software-Only"
RIS-I - Web server medium for eRadCockpit and WebMFD - single or load-bal. srvr (30 CCU),MS 2008 R2 Ent,,64,8,192,87,0,0,100,Fiber Channel,SAS,GigE,"Grp 1 is OS and apps (C:/192Gb), Grp 2 (T:/92Gb) / Each Virtual Server will be handled as Software-Only"
RIS-I - Web server small for WebMFD only,MS 2008 R2 Std,,12,2,100,0,0,0,100,Fiber Channel,SAS,GigE,
C360 - HAProxy Server,CentOS6.5 - 64bits,,2,2,20,0,0,0,10,Fiber Channel,SAS,GigE,> 10 GB for OS > 10 GB for apps -  Deploy in PUBLIC VLAN
C360 - Web App Server (Play&DocViewer),CentOS6.5 - 64bits,,16,8,150,0,0,0,50,Fiber Channel,SAS,GigE,> 100 GB for OS > 50 GB for /mnt/resource - Deploy in PRIVATE VLAN
C360 - Predix Service Host Server,CentOS6.5 - 64bits,,16,8,150,0,0,0,10,Fiber Channel,SAS,GigE,> 100 GB for OS > 50 GB for /mnt/resource - Deploy in PRIVATE VLAN
C360 - EA Server & DB,MS 2012 R2 Std,MS SQL 2014 Std,16,8,700,0,0,0,100,Fiber Channel,SAS,GigE,"> 40 GB for OS > 100 GB for SQL Database Server (D:) > 50GB for logs (E:), > 500GB encrypted (CIFS) - Deploy in PRIVATE VLAN"
C360 - Rabbit MQ & App File Syst.,CentOS6.5 - 64bits,,4,2,540,0,0,0,10,Fiber Channel,SAS,GigE,> 40 GB for OS >  500GB for  /data - To be deployed in PRIVATE VLAN
C360 - ZFP and Dakota Server,MS 2012 R2 Std,,16,8,50,0,0,0,10,Fiber Channel,SAS,GigE,> 50 GB for OS - Deploy in PRIVATE VLAN
C360 - Active Directory,MS 2012 R2 Std,,4,2,50,0,0,0,10,Fiber Channel,SAS,GigE,> 40 GB for OS > 10 GB for logs - Deploy in Management VLAN
CA - Centricity Anaesthesia - Rhapsody (150 - 200 clients),MS 2012 R2 Std,,6,2,0,0,0,0,,Fiber Channel,SAS,GigE,
CA - Centricity Anaesthesia - Rhapsody (up to 100 clients),MS 2012 R2 Std,,4,2,0,0,0,0,,Fiber Channel,SAS,GigE,
CA - Centricity Anaesthesia App Server + DB (100 - 150 clients),MS 2012 R2 Std,MS SQL 2012 Std,24,8,0,0,0,0,4450,Fiber Channel,SAS,GigE,
CA - Centricity Anaesthesia App Server + DB (150 - 200 clients),MS 2012 R2 Std,MS SQL 2012 Std,24,8,0,0,0,0,4450,Fiber Channel,SAS,GigE,
CA - Centricity Anaesthesia App Server + DB (20 - 60 clients),MS 2012 R2 Std,MS SQL 2012 Std,16,4,0,0,0,0,2900,Fiber Channel,SAS,GigE,
CA - Centricity Anaesthesia App Server + DB (60 - 100 clients),MS 2012 R2 Std,MS SQL 2012 Std,24,6,0,0,0,0,3850,Fiber Channel,SAS,GigE,
